,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.047725275,0.04961493,0.046096597,0.04636213,0.047083735,0.04608206,0.048731744,0.046554703,0.048041943,0.04719866,0.048609346,0.04701219,0.04830893,0.04892807,0.046766803,0.04832291,0.047095668,0.046627793,0.047879737,0.048518054,0.04843876
1,0.04832228,0.050241243,0.04582093,0.0452354,0.04551058,0.045037527,0.051173545,0.045353357,0.048879825,0.047519743,0.048342936,0.045107678,0.048262607,0.050762698,0.04647128,0.04899078,0.045900576,0.0459486,0.049212035,0.048639677,0.049266707
2,0.047561403,0.049446095,0.04616537,0.046664827,0.047511544,0.046361238,0.04809105,0.046877883,0.04781541,0.0471079,0.04867817,0.047534008,0.048317686,0.048442334,0.046841323,0.048140477,0.0474179,0.04680674,0.047522318,0.048482142,0.048214212
3,0.0475517,0.04878253,0.046672124,0.04704731,0.04763029,0.046842072,0.04781126,0.04719265,0.047705993,0.047266047,0.04832733,0.047663096,0.048080735,0.048070345,0.047120973,0.04792923,0.04754851,0.04711809,0.047490332,0.04817967,0.047969684
4,0.047503468,0.049161505,0.04636074,0.046896208,0.047695026,0.046618514,0.047784142,0.047093324,0.04770219,0.047131352,0.04858028,0.047752563,0.04823914,0.0481545,0.046961367,0.04800769,0.047569882,0.046972606,0.047393277,0.048366096,0.048056092
5,0.047421306,0.048586212,0.046822134,0.04731459,0.047967214,0.04710147,0.047298945,0.04746891,0.047518656,0.047207333,0.04834021,0.04807402,0.048059307,0.047664855,0.047201138,0.04776575,0.047804646,0.047282107,0.047211915,0.048117917,0.047771323
6,0.048247647,0.04905824,0.046705674,0.045993373,0.045883432,0.04594868,0.05040975,0.046007156,0.048609328,0.047760285,0.047798567,0.04553032,0.04788011,0.049915113,0.04697946,0.04856501,0.046253722,0.046546746,0.049014855,0.04812762,0.048764907
7,0.047524203,0.049295828,0.04626551,0.046794977,0.04762491,0.0465032,0.047905646,0.047001544,0.047747046,0.04711462,0.048633315,0.04766956,0.0482794,0.048274487,0.046904575,0.048065536,0.047510017,0.04689825,0.047440168,0.04842275,0.048124492
8,0.04769589,0.048005924,0.04733861,0.04730183,0.04738264,0.04726174,0.048025347,0.047328107,0.04776967,0.04758235,0.047762133,0.047337767,0.047733095,0.0480035,0.047451492,0.047801163,0.047421183,0.04739118,0.047788966,0.04778273,0.04783461
9,0.047681842,0.047923252,0.047399193,0.04736665,0.04742762,0.04733571,0.047946297,0.04738679,0.047740474,0.047592174,0.047729515,0.047390908,0.047707852,0.047926616,0.04748736,0.04776408,0.04745948,0.0474385,0.047757607,0.047747273,0.047790818
10,0.04809973,0.049949758,0.045970835,0.045691334,0.046108734,0.045471445,0.050220322,0.04583121,0.048557308,0.047416106,0.048415743,0.04582765,0.048262645,0.050035484,0.046609867,0.048723698,0.046360478,0.04623288,0.048708066,0.048570752,0.04893591
11,0.047489967,0.0486209,0.046773996,0.047216207,0.047803458,0.04701766,0.047539447,0.047358233,0.04760703,0.047256485,0.048297483,0.047872405,0.048046365,0.047839556,0.047190104,0.047830135,0.047684964,0.047230184,0.047355548,0.048119407,0.047850486
12,0.047739662,0.049441945,0.04623348,0.046439856,0.047074337,0.046189886,0.048716787,0.046611305,0.048034154,0.04725347,0.04850281,0.046996087,0.048240863,0.04887073,0.04683915,0.0482815,0.047100432,0.046698324,0.047907524,0.048435677,0.048392013
13,0.04791199,0.04985044,0.045982487,0.04599088,0.04658775,0.0457311,0.049493257,0.04616446,0.04830812,0.04729031,0.048550628,0.04640974,0.048311446,0.04951317,0.046661314,0.048544105,0.046718083,0.046401236,0.048292436,0.048576184,0.048710894
14,0.047530297,0.048985686,0.046506412,0.04696075,0.047654327,0.046717815,0.04781213,0.047132794,0.047709707,0.04719745,0.04845862,0.047697656,0.048163798,0.04812605,0.047035404,0.047974773,0.047552224,0.047037415,0.04744777,0.048278555,0.048020404
15,0.04788222,0.049647726,0.046126552,0.04614218,0.046692543,0.045903422,0.04930631,0.046301734,0.048241474,0.0473172,0.048472524,0.04653279,0.04825245,0.049329877,0.046747975,0.048457954,0.046808217,0.046513595,0.048222486,0.048492275,0.048608493
16,0.047516324,0.04888514,0.04657916,0.04703459,0.047702357,0.046802904,0.04772681,0.047199182,0.047677834,0.04721112,0.048417,0.047754593,0.048132937,0.04804014,0.047077965,0.047932852,0.047593843,0.047092356,0.04741624,0.04823567,0.047970988
17,0.047544517,0.049689554,0.045973614,0.04654996,0.047516957,0.046205524,0.048123114,0.046792936,0.047828976,0.047033038,0.04882622,0.047547128,0.04841308,0.048530582,0.046738952,0.04820236,0.047405258,0.046705108,0.04749126,0.048597753,0.048284143
18,0.04783879,0.04994677,0.045884855,0.046032056,0.046753027,0.04573669,0.049266137,0.046232305,0.048231255,0.04720749,0.048674054,0.046615083,0.04837772,0.04938437,0.046623763,0.048515115,0.046832446,0.046403818,0.048134286,0.048638944,0.048671026
19,0.04780221,0.049039066,0.046566375,0.04658469,0.04698014,0.0464139,0.04878534,0.046699096,0.048052505,0.047405712,0.048225038,0.046869982,0.048068594,0.048807126,0.047007877,0.04820673,0.04705879,0.04684497,0.048035387,0.04823549,0.048310976
20,0.047886442,0.049847227,0.045976665,0.04602583,0.046651177,0.04575893,0.049399376,0.046204824,0.048275948,0.0472707,0.048574187,0.046487674,0.048321538,0.04944816,0.04666369,0.048522543,0.04676469,0.04641904,0.04823614,0.048581526,0.048683733
