,Node,Target,Weight,Latitude,Longitude
0,0,0,1.3373929262161255,-33.4,18.48
1,1,13,1.7551854848861694,-31.48,19.76
2,2,17,2.138171672821045,-32.83,17.86
3,3,5,1.8741761445999146,-34.42,18.44
4,4,4,1.5163612365722656,-33.55,18.4
5,5,3,1.0715184211730957,-34.3,18.32
6,6,1,1.8591949939727783,-32.96,19.43
7,7,15,1.2460461854934692,-34.43,19.22
8,8,8,2.000527858734131,-33.97,18.92
9,9,9,2.1294398307800293,-34.15,18.48
10,10,6,2.0084455013275146,-33.5,21.27
11,11,15,1.2967222929000854,-33.88,18.59
12,12,1,2.1874001026153564,-33.5,18.97
13,13,1,2.6617493629455566,-33.01,18.98
14,14,3,1.4722867012023926,-33.74,18.37
15,15,1,1.6143110990524292,-33.79,19.9
16,16,3,1.302565336227417,-34.03,18.26
17,17,7,1.380969524383545,-34.8002,20.0569
18,18,17,1.9424622058868408,-34.15,19.9
19,19,3,1.2911505699157715,-33.65,19.01
20,20,1,2.9684109687805176,-33.66,19.42
